zip,lat,lng,city,state_id,state_name,county_name
28376,34.9919,-79.24262,Raeford,NC,North Carolina,Hoke
28401,34.27257,-77.96332,Wilmington,NC,North Carolina,New Hanover
28421,34.52082,-78.17817,Atkinson,NC,North Carolina,Pender
28423,34.31178,-78.39381,Bolton,NC,North Carolina,Columbus
28445,34.51045,-77.54669,Holly Ridge,NC,North Carolina,Onslow
28501,35.24439,-77.5219,Kinston,NC,North Carolina,Lenoir
28510,35.00388,-76.80688,Arapahoe,NC,North Carolina,Pamlico
28511,34.8996,-76.35195,Atlantic,NC,North Carolina,Carteret
28519,35.123740000000005,-77.02169,Bridgeton,NC,North Carolina,Craven
28573,34.9965,-77.19904,Pollocksville,NC,North Carolina,Jones
28601,35.772529999999996,-81.32634,Hickory,NC,North Carolina,Catawba
28604,36.1772,-81.8479,Banner Elk,NC,North Carolina,Watauga
28606,36.05343,-81.31883,Boomer,NC,North Carolina,Wilkes
28611,36.01102,-81.73527,Collettsville,NC,North Carolina,Caldwell
28612,35.66086,-81.54008,Connelly Springs,NC,North Carolina,Burke
28615,36.46267,-81.65856,Creston,NC,North Carolina,Ashe
28616,36.02313,-81.92013,Crossnore,NC,North Carolina,Avery
28636,35.94324,-81.06397,Hiddenite,NC,North Carolina,Alexander
28701,35.70239,-82.64105,Alexander,NC,North Carolina,Buncombe
